Name,City,Country Code,Days,Start,End
gatlins bbq houston,Houston,US,0,1100,1500
gatlins bbq houston,Houston,US,0,1700,2100
gatlins bbq houston,Houston,US,1,1100,1500
gatlins bbq houston,Houston,US,1,1700,2100
gatlins bbq houston,Houston,US,2,1100,1500
gatlins bbq houston,Houston,US,2,1700,2100
gatlins bbq houston,Houston,US,3,1100,1500
gatlins bbq houston,Houston,US,3,1700,2100
gatlins bbq houston,Houston,US,4,1100,1500
gatlins bbq houston,Houston,US,4,1700,2100
gatlins bbq houston,Houston,US,5,1100,2100
