Name,City,Country Code,Days,Start,End
kintan japanese bbq london,London,GB,0,1200,1500
kintan japanese bbq london,London,GB,0,1700,2300
kintan japanese bbq london,London,GB,1,1200,1500
kintan japanese bbq london,London,GB,1,1700,2300
kintan japanese bbq london,London,GB,2,1200,1500
kintan japanese bbq london,London,GB,2,1700,2300
kintan japanese bbq london,London,GB,3,1200,1500
kintan japanese bbq london,London,GB,3,1700,2300
kintan japanese bbq london,London,GB,4,1200,1500
kintan japanese bbq london,London,GB,4,1700,2300
kintan japanese bbq london,London,GB,5,1200,2300
kintan japanese bbq london,London,GB,6,1200,2200
